file	order	off_verdict	off_ms	off_exit	off_route	on_verdict	on_ms	on_exit	on_route
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/FFT/smtlib.626139.smt2	off-on	unknown	108	ok	none|nra|clean	unknown	110	ok	none|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.rekcba_ctm_true-unreach-call.1.c.smt2	on-off	unknown	25233	ok	none|dl-online|clean	unknown	25737	ok	none|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--input--keyboard--stowaway.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	off-on	unknown	25037	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean	unknown	25037	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--media--common--tuners--mxl5007t.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	on-off	unknown	24136	ok	none|uf-arith-lazy-overbound|clean	unknown	24137	ok	none|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--media--video--gspca--gspca_stv0680.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	off-on	unsat	109	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean	unsat	110	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--staging--speakup--speakup_soft.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	on-off	unknown	24136	ok	none|uf-arith-lazy-overbound|clean	unknown	24139	ok	none|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--watchdog--cpu5wdt.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	off-on	sat	309	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean	sat	311	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--atm--adummy.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	on-off	unsat	109	ok	dl-online|dl-online|clean	unsat	110	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--touchscreen--inexio.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	off-on	unsat	109	ok	dl-online|dl-online|clean	unsat	110	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--rtc--rtc-ds1390.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	on-off	unsat	109	ok	qf-bv|fd:parse|clean	unsat	110	ok	qf-bv|dl-online|clean
