sweep_id	arm	corpus_path	binary_sha	features	verdict	exit_status	decided_by	bound_by	attempts	attempt_trail	elapsed_ms	elapsed_ms_per_attempt	partial	decline_reasons	decline_details	decline_names	host	core	load
nia-groebner-gate-crossdiv-QF_NRA	shipped	QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2	3c3ba0eb2	Real	unknown	0	none	nra	16	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pq:skolem-qf:declined\pq:nat-induction:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	2509	3\p1\p4\p135\p2006\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=incomplete\pnra=budget\pq:skolem-qf=unsupported\pq:nat-induction=not-applicable\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\pexact real-polynomial decider declined: projection (cad-arm=default)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pquant-route ownership (ADR-2103): `q:skolem-qf` owns {Real, Int, BvOrFloat, Datatype, Function, UninterpretedSort, Array, NonBvArray, NonBoolBvArray} and does not own {NestedArray, WideInt}, which this quantified query carries, so its non-decision is a decline and the ladder continues. Its own reason was: nonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\p\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	\p\pother\pquant-ownership-decline\p\pother\pother\pother\pother\pother\pother\pother\pother\pother	server7	1,9	0.22
nia-groebner-gate-crossdiv-QF_NRA	gateunbounded	QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2	3c3ba0eb2	Real	unknown	0	none	nra	16	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pq:skolem-qf:declined\pq:nat-induction:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	2508	2\p0\p4\p135\p2033\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=incomplete\pnra=budget\pq:skolem-qf=unsupported\pq:nat-induction=not-applicable\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\pexact real-polynomial decider declined: projection (cad-arm=default)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pquant-route ownership (ADR-2103): `q:skolem-qf` owns {Real, Int, BvOrFloat, Datatype, Function, UninterpretedSort, Array, NonBvArray, NonBoolBvArray} and does not own {NestedArray, WideInt}, which this quantified query carries, so its non-decision is a decline and the ladder continues. Its own reason was: nonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\p\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	\p\pother\pquant-ownership-decline\p\pother\pother\pother\pother\pother\pother\pother\pother\pother	server7	1,9	0.22
nia-groebner-gate-crossdiv-QF_NRA	gateunbounded	QF_NRA/20161105-Sturm-MBO/mbo_E13E18.smt2	3c3ba0eb2	Real	unknown	0	none	nra-real-root	4	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined	25326	44\p11\p70\p16228	yes	dl-online=not-applicable\pnra-real-root=incomplete	\pexact real-polynomial decider declined: projection (cad-arm=default)	\p	server7	1,9	0.37
nia-groebner-gate-crossdiv-QF_NRA	shipped	QF_NRA/20161105-Sturm-MBO/mbo_E13E18.smt2	3c3ba0eb2	Real	unknown	0	none	nra-real-root	4	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined	25323	48\p11\p78\p16965	yes	dl-online=not-applicable\pnra-real-root=incomplete	\pexact real-polynomial decider declined: projection (cad-arm=default)	\p	server7	1,9	0.92
nia-groebner-gate-crossdiv-QF_NRA	shipped	QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	3c3ba0eb2	Real	unknown	0	none	nra-real-root	4	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined	25220	39\p10\p70\p15834	yes	dl-online=not-applicable\pnra-real-root=incomplete	\pexact real-polynomial decider declined: projection (cad-arm=default)	\p	server7	1,9	1.29
nia-groebner-gate-crossdiv-QF_NRA	gateunbounded	QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	3c3ba0eb2	Real	unknown	0	none	nra-real-root	4	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined	25223	38\p9\p64\p15706	yes	dl-online=not-applicable\pnra-real-root=incomplete	\pexact real-polynomial decider declined: projection (cad-arm=default)	\p	server7	1,9	1.54
nia-groebner-gate-crossdiv-QF_NRA	gateunbounded	QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	3c3ba0eb2	Real	unknown	0	none	nra	16	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pq:skolem-qf:declined\pq:nat-induction:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	1608	1\p0\p2\p40\p1440\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=incomplete\pnra=budget\pq:skolem-qf=unsupported\pq:nat-induction=not-applicable\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\pexact real-polynomial decider declined: projection (cad-arm=default)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pquant-route ownership (ADR-2103): `q:skolem-qf` owns {Real, Int, BvOrFloat, Datatype, Function, UninterpretedSort, Array, NonBvArray, NonBoolBvArray} and does not own {NestedArray, WideInt}, which this quantified query carries, so its non-decision is a decline and the ladder continues. Its own reason was: nonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\p\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	\p\pother\pquant-ownership-decline\p\pother\pother\pother\pother\pother\pother\pother\pother\pother	server7	1,9	1.70
nia-groebner-gate-crossdiv-QF_NRA	shipped	QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	3c3ba0eb2	Real	unknown	0	none	nra	16	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pq:skolem-qf:declined\pq:nat-induction:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	1608	1\p0\p2\p43\p1419\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=incomplete\pnra=budget\pq:skolem-qf=unsupported\pq:nat-induction=not-applicable\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\pexact real-polynomial decider declined: projection (cad-arm=default)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pquant-route ownership (ADR-2103): `q:skolem-qf` owns {Real, Int, BvOrFloat, Datatype, Function, UninterpretedSort, Array, NonBvArray, NonBoolBvArray} and does not own {NestedArray, WideInt}, which this quantified query carries, so its non-decision is a decline and the ladder continues. Its own reason was: nonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\p\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pnonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	\p\pother\pquant-ownership-decline\p\pother\pother\pother\pother\pother\pother\pother\pother\pother	server7	1,9	1.70
nia-groebner-gate-crossdiv-QF_NRA	shipped	QF_NRA/20161105-Sturm-MBO/mbo_E2E5.smt2	3c3ba0eb2	Real	unknown	0	none	nra-real-root	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pq:skolem-qf:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24520	59\p14\p102\p23914\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=incomplete\pq:skolem-qf=unsupported\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\pexact real-polynomial decider declined: projection (cad-arm=default)\pquant-route ownership (ADR-2103): `q:skolem-qf` owns {Real, Int, BvOrFloat, Datatype, Function, UninterpretedSort, Array, NonBvArray, NonBoolBvArray} and does not own {NestedArray, WideInt}, which this quantified query carries, so its non-decision is a decline and the ladder continues. Its own reason was: preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route	\p\pquant-ownership-decline\pother\pother\pother\pother\pother\pother\pother\pother\pother	server7	1,9	1.72
nia-groebner-gate-crossdiv-QF_NRA	gateunbounded	QF_NRA/20161105-Sturm-MBO/mbo_E2E5.smt2	3c3ba0eb2	Real	unknown	0	none	nra-real-root	4	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined	25421	55\p14\p102\p22523	yes	dl-online=not-applicable\pnra-real-root=incomplete	\pexact real-polynomial decider declined: projection (cad-arm=default)	\p	server7	1,9	1.80
nia-groebner-gate-crossdiv-QF_NRA	gateunbounded	QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	3c3ba0eb2	Real	unknown	0	none	nra-real-root	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pq:skolem-qf:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24520	60\p13\p96\p23966\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=incomplete\pq:skolem-qf=unsupported\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\pexact real-polynomial decider declined: projection (cad-arm=default)\pquant-route ownership (ADR-2103): `q:skolem-qf` owns {Real, Int, BvOrFloat, Datatype, Function, UninterpretedSort, Array, NonBvArray, NonBoolBvArray} and does not own {NestedArray, WideInt}, which this quantified query carries, so its non-decision is a decline and the ladder continues. Its own reason was: preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route	\p\pquant-ownership-decline\pother\pother\pother\pother\pother\pother\pother\pother\pother	server7	1,9	1.88
nia-groebner-gate-crossdiv-QF_NRA	shipped	QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	3c3ba0eb2	Real	unknown	0	none	nra-real-root	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pq:skolem-qf:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24427	61\p13\p99\p23884\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=incomplete\pq:skolem-qf=unsupported\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\pexact real-polynomial decider declined: projection (cad-arm=default)\pquant-route ownership (ADR-2103): `q:skolem-qf` owns {Real, Int, BvOrFloat, Datatype, Function, UninterpretedSort, Array, NonBvArray, NonBoolBvArray} and does not own {NestedArray, WideInt}, which this quantified query carries, so its non-decision is a decline and the ladder continues. Its own reason was: preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route	\p\pquant-ownership-decline\pother\pother\pother\pother\pother\pother\pother\pother\pother	server7	1,9	1.91
nia-groebner-gate-crossdiv-QF_NRA	shipped	QF_NRA/20161105-Sturm-MBO/mbo_E7E27.smt2	3c3ba0eb2	Real	unsat	0	nra	nra	6	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pcas-ideal-refuter:declined\pnra:decided	107	0\p0\p0\p0\p1\p43	no	dl-online=not-applicable\pnra-real-root=incomplete\pcas-ideal-refuter=incomplete	\pexact real-polynomial decider declined: nullified-residual (cad-arm=default)\pno combination of the asserted equations collapsed to a constant of the refuting sign	\p\p	server7	1,9	1.94
nia-groebner-gate-crossdiv-QF_NRA	gateunbounded	QF_NRA/20161105-Sturm-MBO/mbo_E7E27.smt2	3c3ba0eb2	Real	unsat	0	nra	nra	6	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pcas-ideal-refuter:declined\pnra:decided	107	0\p0\p0\p0\p1\p44	no	dl-online=not-applicable\pnra-real-root=incomplete\pcas-ideal-refuter=incomplete	\pexact real-polynomial decider declined: nullified-residual (cad-arm=default)\pno combination of the asserted equations collapsed to a constant of the refuting sign	\p\p	server7	1,9	1.94
nia-groebner-gate-crossdiv-QF_NRA	gateunbounded	QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/avg60.i_5_5_4.bpl_3.smt2	3c3ba0eb2	Real	unknown	0	none	nra	16	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pcas-ideal-refuter:declined\pnra:declined\pq:skolem-qf:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24119	3\p1\p11\p0\p2\p24013\p0\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=incomplete\pcas-ideal-refuter=incomplete\pnra=budget\pq:skolem-qf=unsupported\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\pexact real-polynomial decider declined: non-conjunctive (cad-arm=default)\pcofactor-tracked Gröbner reduction hit the basis-size ceiling\pnonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\pquant-route ownership (ADR-2103): `q:skolem-qf` owns {Real, Int, BvOrFloat, Datatype, Function, UninterpretedSort, Array, NonBvArray, NonBoolBvArray} and does not own {NestedArray, WideInt}, which this quantified query carries, so its non-decision is a decline and the ladder continues. Its own reason was: preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	\p\p\pother\pquant-ownership-decline\pother\pother\pother\pother\pother\pother\pother\pother\pother	server7	1,9	1.94
