file	A	B	A_ms	B_ms	first
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	unknown	unknown	24026	24028	A
QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	sat	sat	109	109	B
QF_LRA/LassoRanker/CooperatingT2/ex11.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	unknown	25130	25029	A
QF_LRA/LassoRanker/CooperatingT2/sumit.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	unknown	24428	24428	B
QF_LRA/LassoRanker/Ultimate/Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	unknown	unknown	24128	24127	A
QF_LRA/TM/p7-driverlogNumeric_s8.smt2	unknown	unknown	24127	24128	B
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0156.smt2	unsat	unsat	110	110	A
QF_LRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0048.smt2	unsat	unsat	110	110	B
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0063.smt2	sat	sat	109	109	A
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0023.smt2	unsat	unsat	108	110	B
QF_LRA/sal/gasburner/gasburner-prop3-9.smt2	unsat	unsat	609	610	A
QF_LRA/sc/sc-23.base.cvc.smt2	unknown	unknown	24027	24128	B
QF_LRA/spider_benchmarks/reint_to_least.base.smt2	unsat	unsat	109	109	A
QF_LRA/2019-ezsmt/blending/24.smt2	sat	sat	4011	4011	B
QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	sat	sat	108	108	A
QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	unknown	unknown	24828	24525	B
QF_LRA/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2	unknown	unknown	25129	25129	A
QF_LRA/LassoRanker/Ultimate/OpposedDisjuncts.bpl_Iteration1_Lasso_2-pieceTemplate.smt2	unknown	unknown	24127	24127	B
QF_LRA/keymaera/bouncing-ball-inv-node1886.smt2	unsat	unsat	108	109	A
QF_LRA/meti-tarski/Chua/2/VC2/L/Chua-2-VC2-L-chunk-0048.smt2	sat	sat	109	109	B
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0019.smt2	unsat	unsat	108	108	A
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0046.smt2	sat	sat	109	109	B
QF_LRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0010.smt2	sat	sat	109	109	A
QF_LRA/sal/tgc/tgc_io-safe-20.smt2	unknown	unknown	4212	4312	B
QF_LRA/sc/sc-33.base.cvc.smt2	unknown	unknown	24128	24129	A
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	unknown	unknown	24127	24128	B
QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	sat	sat	109	109	A
QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	unknown	unknown	24227	24327	B
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration6_Lasso_6-phaseTemplate.smt2	unknown	unknown	24825	24427	A
QF_LRA/LassoRanker/Ultimate/2013POPL-BenAmGen-Ex4.2.bpl_Iteration1_Lasso_4-pieceTemplate.smt2	unknown	unknown	24126	24127	B
QF_LRA/TM/p-driverlogNumeric_s7.smt2	sat	sat	108	109	A
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0005.smt2	sat	sat	109	109	B
QF_LRA/meti-tarski/bottom-plate-mixer/bottom-plate-mixer-chunk-0051.smt2	sat	sat	108	109	A
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0014.smt2	sat	sat	109	109	B
QF_LRA/meti-tarski/sin/problem/8/sin-problem-8-chunk-0011.smt2	sat	sat	109	109	A
QF_LRA/sal/gasburner/gasburner-prop3-12.smt2	unsat	unsat	7315	7515	B
QF_LRA/sc/sc-19.base.cvc.smt2	unknown	unknown	24027	24127	A
QF_LRA/spider_benchmarks/no_op_accs.base.smt2	unsat	unsat	1308	1209	B
QF_LRA/2019-ezsmt/robotics/1_4.smt2	unsat	unsat	108	107	A
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	sat	sat	108	108	B
QF_LRA/LassoRanker/CooperatingT2/ludcmp.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	unknown	unknown	25126	24726	A
QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_3-pieceTemplate.smt2	unknown	unknown	24129	24128	B
QF_LRA/LassoRanker/Ultimate/TelAviv-AmirMinimum.bpl_Iteration1_Loop_4-pieceTemplate.smt2	unknown	unknown	25029	24827	A
QF_LRA/keymaera/water_tank-node23593.smt2	unsat	unsat	108	109	B
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0014.smt2	sat	sat	108	109	A
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0041.smt2	sat	sat	109	109	B
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0065.smt2	sat	sat	109	110	A
QF_LRA/miplib/danoint-266.smt2	unknown	unknown	24127	24128	B
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-17.smt2	unsat	unsat	209	108	A
QF_LRA/sc/sc-37.base.cvc.smt2	unknown	unknown	24128	24127	B
